00A1	\textexclamdown
00A2	\textcent
00A3	\textsterling
00A4	\textcurrency
00A5	\textyen
00A6	\textbrokenbar
00A7	\textsection
00A8	\textasciidieresis
00A9	\textcopyright
00AA	\textordfeminine
00AB	\guillemotleft
00AC	\textlnot
00AE	\textregistered
00AF	\textasciimacron
00B0	\textdegree
00B1	\textpm
00B2	\texttwosuperior
00B3	\textthreesuperior
00B4	\textasciiacute
00B5	\textmu
00B6	\textparagraph
00B7	\textperiodcentered
00B8	\c\ 
00B9	\textonesuperior
00BA	\textordmasculine
00BB	\guillemotright
00BC	\textonequarter
00BD	\textonehalf
00BE	\textthreequarters
00BF	\textquestiondown
00C0	\`A
00C1	\'A
00C2	\^A
00C3	\~A
00C4	\"A
00C4	"A
00C5	\r A
00C6	\AE
00C7	\c C
00C7	\cC
00C8	\`E
00C9	\'E
00CA	\^E
00CB	\"E
00CC	\`I
00CD	\'I
00CE	\^I
00CF	\"I
00D0	\DH
00D1	\~N
00D2	\`O
00D3	\'O
00D4	\^O
00D5	\~O
00D6	\"O
00D6	"O
00D7	\texttimes
00D8	\O
00D9	\`U
00DA	\'U
00DB	\^U
00DC	\"U
00DC	"U
00DD	\'Y
00DE	\TH
00DF	\ss
00E0	\`a
00E1	\'a
00E2	\^a
00E3	\~a
00E4	\"a
00E4	"a
00E5	\r a
00E6	\ae
00E7	\c c
00E7	\cc
00E8	\`e
00E9	\'e
00EA	\^e
00EB	\"e
00EC	\`\i
00ED	\'\i
00EE	\^\i
00EF	\"\i
00F0	\dh
00F1	\~n
00F2	\`o
00F3	\'o
00F4	\^o
00F5	\~o
00F6	\"o
00F6	"o
00F7	\textdiv
00F8	\o
00F9	\`u
00FA	\'u
00FB	\^u
00FC	\"u
00FC	"u
00FD	\'y
00FE	\th
00FF	\"y
0102	\u A
0103	\u a
0104	\k A
0105	\k a
0106	\'C
0107	\'c
010C	\v C
010D	\v c
010E	\v D
010F	\v d
0110	\DJ
0111	\dj
0118	\k E
0119	\k e
011A	\v E
011B	\v e
011E	\u G
011F	\u g
0130	\.I
0131	\i
0132	\IJ
0133	\ij
0139	\'L
013A	\'l
013D	\v L
013E	\v l
0141	\L
0142	\l
0143	\'N
0144	\'n
0147	\v N
0148	\v n
014A	\NG
014B	\ng
0150	\H O
0151	\H o
0152	\OE
0153	\oe
0154	\'R
0155	\'r
0158	\v R
0159	\v r
015A	\'S
015B	\'s
015E	\c S
015F	\c s
0160	\v S
0161	\v s
0162	\c T
