Evaluation over 100 training repetitions

all instance accuracies:
accuracy of repetion 1: 0.6533333333333333
accuracy of repetion 2: 0.7333333333333333
accuracy of repetion 3: 0.7133333333333334
accuracy of repetion 4: 0.6866666666666666
accuracy of repetion 5: 0.64
accuracy of repetion 6: 0.6933333333333334
accuracy of repetion 7: 0.6466666666666666
accuracy of repetion 8: 0.6933333333333334
accuracy of repetion 9: 0.72
accuracy of repetion 10: 0.7
accuracy of repetion 11: 0.6466666666666666
accuracy of repetion 12: 0.6866666666666666
accuracy of repetion 13: 0.7133333333333334
accuracy of repetion 14: 0.6933333333333334
accuracy of repetion 15: 0.6533333333333333
accuracy of repetion 16: 0.7133333333333334
accuracy of repetion 17: 0.6733333333333333
accuracy of repetion 18: 0.7533333333333333
accuracy of repetion 19: 0.6733333333333333
accuracy of repetion 20: 0.7
accuracy of repetion 21: 0.72
accuracy of repetion 22: 0.6533333333333333
accuracy of repetion 23: 0.7333333333333333
accuracy of repetion 24: 0.72
accuracy of repetion 25: 0.7333333333333333
accuracy of repetion 26: 0.64
accuracy of repetion 27: 0.6933333333333334
accuracy of repetion 28: 0.64
accuracy of repetion 29: 0.62
accuracy of repetion 30: 0.6866666666666666
accuracy of repetion 31: 0.7
accuracy of repetion 32: 0.6266666666666667
accuracy of repetion 33: 0.6466666666666666
accuracy of repetion 34: 0.6866666666666666
accuracy of repetion 35: 0.6466666666666666
accuracy of repetion 36: 0.66
accuracy of repetion 37: 0.66
accuracy of repetion 38: 0.6933333333333334
accuracy of repetion 39: 0.7133333333333334
accuracy of repetion 40: 0.7066666666666667
accuracy of repetion 41: 0.6466666666666666
accuracy of repetion 42: 0.6533333333333333
accuracy of repetion 43: 0.64
accuracy of repetion 44: 0.7066666666666667
accuracy of repetion 45: 0.6666666666666666
accuracy of repetion 46: 0.6666666666666666
accuracy of repetion 47: 0.7
accuracy of repetion 48: 0.6933333333333334
accuracy of repetion 49: 0.6666666666666666
accuracy of repetion 50: 0.68
accuracy of repetion 51: 0.5866666666666667
accuracy of repetion 52: 0.64
accuracy of repetion 53: 0.6666666666666666
accuracy of repetion 54: 0.66
accuracy of repetion 55: 0.7
accuracy of repetion 56: 0.6666666666666666
accuracy of repetion 57: 0.7
accuracy of repetion 58: 0.7
accuracy of repetion 59: 0.7
accuracy of repetion 60: 0.7133333333333334
accuracy of repetion 61: 0.6866666666666666
accuracy of repetion 62: 0.6533333333333333
accuracy of repetion 63: 0.7466666666666667
accuracy of repetion 64: 0.7066666666666667
accuracy of repetion 65: 0.7066666666666667
accuracy of repetion 66: 0.74
accuracy of repetion 67: 0.72
accuracy of repetion 68: 0.68
accuracy of repetion 69: 0.68
accuracy of repetion 70: 0.7266666666666667
accuracy of repetion 71: 0.6733333333333333
accuracy of repetion 72: 0.7
accuracy of repetion 73: 0.6333333333333333
accuracy of repetion 74: 0.66
accuracy of repetion 75: 0.62
accuracy of repetion 76: 0.64
accuracy of repetion 77: 0.6333333333333333
accuracy of repetion 78: 0.72
accuracy of repetion 79: 0.68
accuracy of repetion 80: 0.7333333333333333
accuracy of repetion 81: 0.6533333333333333
accuracy of repetion 82: 0.7133333333333334
accuracy of repetion 83: 0.66
accuracy of repetion 84: 0.68
accuracy of repetion 85: 0.6933333333333334
accuracy of repetion 86: 0.6666666666666666
accuracy of repetion 87: 0.7533333333333333
accuracy of repetion 88: 0.6133333333333333
accuracy of repetion 89: 0.6
accuracy of repetion 90: 0.6266666666666667
accuracy of repetion 91: 0.6266666666666667
accuracy of repetion 92: 0.6266666666666667
accuracy of repetion 93: 0.6533333333333333
accuracy of repetion 94: 0.7066666666666667
accuracy of repetion 95: 0.7
accuracy of repetion 96: 0.6866666666666666
accuracy of repetion 97: 0.7
accuracy of repetion 98: 0.68
accuracy of repetion 99: 0.68
accuracy of repetion 100: 0.7

ovar all instance accuracy: 0.6798000000000002
best instance accuracy: 0.7533333333333333
